~거든요 [geondeunyo] (You see; Explaining) |  | TOPIK II Level 4
~게 되다 [ge dweda] (End up doing) |  | TOPIK II Level 4
~게 하다 [ge hada] (Make/let someone do) |  | TOPIK II Level 4
~게 해서는 안 되다 [ge haeseoneun an dweda] (Shouldn't make/let someone do) |  | TOPIK II Level 4
겠다 [getda] (will, guess, hope, wish) |  | TOPIK II Level 4
~고 말다 [go malda] (Ended up doing) |  | TOPIK II Level 4
~고 보니 [go boni] (After doing, I noticed) |  | TOPIK II Level 4
~고 싶다 [go sipda] (Want to) |  | TOPIK II Level 4
~고 있다 [go itda] (In the process of doing) |  | TOPIK II Level 4
~고자 하다 [goja hada] (In order to) |  | TOPIK II Level 4
~곤 하다 [gon hada] (Often do) |  | TOPIK II Level 4
~기도 하다 [gido hada] (Sometimes do) |  | TOPIK II Level 4
~기로 [giro] (Decided to) |  | TOPIK II Level 4
~기로 되다 [giro dweda] (It's decided to) |  | TOPIK II Level 4
~기로 하다 [giro hada] (Decide to) |  | TOPIK II Level 4
~기 시작하다 [gi sijakhada] (Begin to) |  | TOPIK II Level 4
~기 위해서 [gi wihaeseo] (In order to) |  | TOPIK II Level 4
~기는 [gineun] (But) |  | TOPIK II Level 4
~기에는 [gieneun] (For doing) |  | TOPIK II Level 4
~기 전에 [gi jeone] (Before doing) |  | TOPIK II Level 4
~나 보다 [na boda] (Seems like, guess) |  | TOPIK II Level 4
~나다 [nada] (End up doing, come to do) |  | TOPIK II Level 4
~나요? [nayo?] (Isn't it?) |  | TOPIK II Level 4
~는 대로 [neun daero] (As it is) |  | TOPIK II Level 4
~는 도중에 [neun dojunge] (While doing) |  | TOPIK II Level 4
~는 방향으로 [neun banghyangeuro] (Toward) |  | TOPIK II Level 4
~는 법이다 [neun beopida] (Usually, always) |  | TOPIK II Level 4
~는데다 [neundedda] (Furthermore, and) |  | TOPIK II Level 4
~는데도 [neundedo] (Even though, but still) |  | TOPIK II Level 4
~는지 [neunji] (Whether or not) |  | TOPIK II Level 4
~는지 모르겠다 [neunji moreugessda] (I'm not sure if) |  | TOPIK II Level 4
~는지라 [neunjira] (Because, since) |  | TOPIK II Level 4
~다가 [daga] (While, and then) |  | TOPIK II Level 4
~다가는 [daganeun] (If keep doing) |  | TOPIK II Level 4
~다가도 [dagado] (Even though was doing) |  | TOPIK II Level 4
~다는 것 [daneun geot] (The fact that) |  | TOPIK II Level 4
~다며 [damyeo] (Saying that) |  | TOPIK II Level 4
~대로 [daero] (According to, as) |  | TOPIK II Level 4
~대로 하다 [daero hada] (Do as instructed/said) |  | TOPIK II Level 4
~대로이면 [daeroimyeon] (If it's as ... said) |  | TOPIK II Level 4
~도록 [dorok] (So that) |  | TOPIK II Level 4
~도록 하다 [dorok hada] (Make/ensure that) |  | TOPIK II Level 4
~도록이면 [dorogimyeon] (If possible) |  | TOPIK II Level 4
~든지 [deunji] (Whether ... or) |  | TOPIK II Level 4
~든지 ~든지 [deunji deunji] (Either ... or) |  | TOPIK II Level 4
~라도 [rado] (At least, even if) |  | TOPIK II Level 4
~라든지 [radeunji] (Or something) |  | TOPIK II Level 4
~라면 [ramyeon] (If it's the case that) |  | TOPIK II Level 4
~라면서 [ramyeonseo] (While saying that) |  | TOPIK II Level 4
~려고 [ryeogo] (In order to) |  | TOPIK II Level 4
~려고 하다 [ryeogo hada] (Try to) |  | TOPIK II Level 4
~려는데 [ryeonde] (I'm planning to, I want to) |  | TOPIK II Level 4
~마다 [mada] (Every) |  | TOPIK II Level 4
~만큼 [mankeum] (As much as) |  | TOPIK II Level 4
~면 [myeon] (If, when) |  | TOPIK II Level 4
~면서 [myeonseo] (While) |  | TOPIK II Level 4
~밖에 [bakke] (Nothing but, only) |  | TOPIK II Level 4
~보다 [boda] (More than) |  | TOPIK II Level 4
~부터 [buteo] (From, starting from) |  | TOPIK II Level 4
~서는 [seoneun] (But in) |  | TOPIK II Level 4
~아/어 보이다 [a/eo boida] (Looks/seems like) |  | TOPIK II Level 4
~아/어 버리다 [a/eo beorida] (Completely do, unfortunately do) |  | TOPIK II Level 4
~아/어 두다 [a/eo duda] (Keep, leave) |  | TOPIK II Level 4
~아/어 가다 [a/eo gada] (Go on doing) |  | TOPIK II Level 4
~아/어 오다 [a/eo oda] (Come to do) |  | TOPIK II Level 4
~아/어야 하다 [a/eoya hada] (Have to, must) |  | TOPIK II Level 4
~아/어야지 [a/eoyaji] (I'm going to) |  | TOPIK II Level 4
~아/어도 [a/eodo] (Even if) |  | TOPIK II Level 4
~아/어서 [a/eoseo] (Because, so) |  | TOPIK II Level 4
~았/었던 [ass/eossdeon] (Was) |  | TOPIK II Level 4
~았/었어야 했다 [ass/eosseoya haessda] (Should have done) |  | TOPIK II Level 4
~았/었으면 [ass/eosseumyeon] (I wish it were) |  | TOPIK II Level 4
~았/었을 텐데 [ass/eosseul tende] (I assume it must have been) |  | TOPIK II Level 4
~았/었다가 [ass/eossdaga] (Was and then) |  | TOPIK II Level 4
~았/었다면 [ass/eossdamyeon] (If it had been) |  | TOPIK II Level 4
~으면 좋겠다 [eumyeon joketda] (I hope, it would be good if) |  | TOPIK II Level 4
~으면서도 [eumyeonseodo] (While, but still) |  | TOPIK II Level 4
~을/ㄹ 거예요 [eul/l geoyeyo] (Going to, will) |  | TOPIK II Level 4
~을/ㄹ게요 [eul/l geyo] (I will) |  | TOPIK II Level 4
~을/ㄹ게요 [eul/l geyo] (In order to) |  | TOPIK II Level 4
~을/ㄹ까요? [eul/l kkayo?] (Shall we?) |  | TOPIK II Level 4
~을/ㄹ 때 [eul/l ttae] (When) |  | TOPIK II Level 4
~을/ㄹ 듯하다 [eul/l deushada] (Seems like) |  | TOPIK II Level 4
~을/ㄹ 만하다 [eul/l manhada] (Worth doing) |  | TOPIK II Level 4
