이/가 | (Subject markers) | [i/ga] |  | TOPIK I Level 1
은/는 | (Topic markers) | [eun/neun] |  | TOPIK I Level 1
을/를 | (Object markers) | [eul/reul] |  | TOPIK I Level 1
아니다 | (To not be) | [anida] |  | TOPIK I Level 1
예요/이에요 | (Descriptive verb ending in present tense) | [yeyo/ieyo] |  | TOPIK I Level 1
아요/어요/여요 | (Verb ending in present tense) | [ayo/eoyo/yeoyo] |  | TOPIK I Level 1
고 | (And) | [go] |  | TOPIK I Level 1
하고 | (And, with) | [hago] |  | TOPIK I Level 1
(으)세요 | (Imperative form) | [(eu)seyo] |  | TOPIK I Level 1
(으)ㄹ 수 있다 | (Can do) | [(eu)l su itda] |  | TOPIK I Level 1
(으)려고 | (Intention to do) | [(eu)ryeogo] |  | TOPIK I Level 1
(으)ㄴ/는다 | (Informal statement endings) | [(eu)n/neunda] |  | TOPIK I Level 1
도 | (Too, also) | [do] |  | TOPIK I Level 1
만 | (Only) | [man] |  | TOPIK I Level 1
와/과 | (And, with – for nouns) | [wa/gwa] |  | TOPIK I Level 1
에 | (At, on, in | [time/place)] | e | 
에서 | (In, at | [location/source)] | eseo | 
부터 | (From) | [buteo] |  | TOPIK I Level 1
까지 | (Until, up to) | [kkaji] |  | TOPIK I Level 1
아/어/여서 | (Because, since) | [a/eo/yeoseo] |  | TOPIK I Level 1
(으)면 | (If, when) | [(eu)myeon] |  | TOPIK I Level 1
너무 | (Too, very) | [neomu] |  | TOPIK I Level 1
많이 | (A lot) | [manhi] |  | TOPIK I Level 1
조금 | (A little) | [jogeum] |  | TOPIK I Level 1
다 | (All, entirely) | [da] |  | TOPIK I Level 1
(으)ㄴ/는데 | (But, however) | [(eu)n/neunde] |  | TOPIK I Level 1
아/어야 해요 | (Have to do) | [a/eoya haeyo] |  | TOPIK I Level 1
안 | (Negation before verb/adjective) | [an] |  | TOPIK I Level 1
못 | (Can't, not able to) | [mot] |  | TOPIK I Level 1
아/어/여 보다 | (Try doing) | [a/eo/yeo boda] |  | TOPIK I Level 1
