不得不 (bùdébù) - Have no choice but, cannot but |  | - HSK Level 4
只要...就... (zhǐyào... jiù...) - As long as... then... |  | - HSK Level 4
只有...才... (zhǐyǒu... cái...) - Only if/when... then... |  | - HSK Level 4
随着 (suízhe) - Along with, in the wake of |  | - HSK Level 4
不过 (búguò) - But, however |  | - HSK Level 4
除非 (chúfēi) - Unless |  | - HSK Level 4
以便 (yǐbiàn) - So that, in order to |  | - HSK Level 4
无论...都... (wúlùn... dōu...) - No matter how... always... |  | - HSK Level 4
既...又... (jì... yòu...) - Both... and... |  | - HSK Level 4
即使 (jíshǐ) - Even if |  | - HSK Level 4
甚至 (shènzhì) - Even, so much so that |  | - HSK Level 4
以免 (yǐmiǎn) - In order to avoid |  | - HSK Level 4
不然 (bùrán) - Otherwise |  | - HSK Level 4
正如 (zhèngrú) - Just as, as |  | - HSK Level 4
虽然...但是... (suīrán... dànshì...) - Although... but... |  | - HSK Level 4
根据 (gēnjù) - According to |  | - HSK Level 4
比如 (bǐrú) - For example |  | - HSK Level 4
假如 (jiǎrú) - If, suppose |  | - HSK Level 4
既然 (jìrán) - Since, now that |  | - HSK Level 4
无论 (wúlùn) - Regardless of, no matter |  | - HSK Level 4
尽管...还... (jǐnguǎn... hái...) - Despite... still... |  | - HSK Level 4
即便 (jíbiàn) - Even if, even though |  | - HSK Level 4
至于 (zhìyú) - As for, regarding |  | - HSK Level 4
相比之下 (xiāngbǐ zhīxià) - In comparison, compared with |  | - HSK Level 4
幸亏 (xìngkuī) - Fortunately, luckily |  | - HSK Level 4
趁 (chèn) - Take advantage of, while |  | - HSK Level 4
为了 (wèile) - In order to, for the sake of |  | - HSK Level 4
假设 (jiǎshè) - Suppose, assuming |  | - HSK Level 4
反而 (fǎn'ér) - Instead, on the contrary |  | - HSK Level 4
与此同时 (yǔ cǐ tóngshí) - Meanwhile, at the same time |  | - HSK Level 4
不如 (bù rú) - Not as good as, rather than |  | - HSK Level 4
反之 (fǎnzhī) - Conversely, on the other hand |  | - HSK Level 4
由于 (yóuyú) - Due to, because of |  | - HSK Level 4
尽管如此 (jǐnguǎn rúcǐ) - Nevertheless, however |  | - HSK Level 4
