ถึงแม้ว่า (thǔeng mâew wâa) - Even though, although |  | CU-TFL Level 3
จะ...ก็ (jà...gɔ̀) - Whether... or |  | CU-TFL Level 3
แค่ (khâe) - Just, only, merely |  | CU-TFL Level 3
เกินไป (gern bpai) - Too much, excessively |  | CU-TFL Level 3
อีก (ìik) - Again, furthermore, more |  | CU-TFL Level 3
ยัง...อยู่ (yang...yùu) - Still, yet |  | CU-TFL Level 3
แทน (thɛɛn) - In place of, for |  | CU-TFL Level 3
เนื่องจาก (nʉ̂ʉang jàak) - Due to, because of |  | CU-TFL Level 3
หรือจะ (rʉ̌ʉ jà) - Whether, or possibly |  | CU-TFL Level 3
นอกจาก...แต่ยัง (nâawk jàak... dtàe yang) - Not only... but also |  | CU-TFL Level 3
เพื่อ (phʉ̂ʉa) - In order to, for the purpose of |  | CU-TFL Level 3
ซึ่ง...ก็ (sûeng... gɔ̀) - Which is, that is |  | CU-TFL Level 3
ในที่ (nai thîi) - Whereas, while |  | CU-TFL Level 3
จนกระทั่ง (jon grà-tàng) - Until, up to the point |  | CU-TFL Level 3
หากว่า (hàak wâa) - Supposing, in case that |  | CU-TFL Level 3
ไม่เพียงแต่ (mâi phîang dtàe) - Not only... |  | CU-TFL Level 3
ปรากฏว่า (praa-gòt wâa) - It appears that, it turns out that |  | CU-TFL Level 3
ตั้งแต่...จนถึง (dtâng dtàe... jon thǔeng) - From... to (time or place) |  | CU-TFL Level 3
ขณะที่ (khànà thîi) - While, whereas, at the time when |  | CU-TFL Level 3
ต่อมา (dtòr maa) - Afterwards, then, next |  | CU-TFL Level 3
ให้ (hâi) - To give, to allow, for the purpose of |  | CU-TFL Level 3
แม้น (mâen) - Even, even if, although |  | CU-TFL Level 3
ทั้งนี้ (tháng níi) - However, nevertheless |  | CU-TFL Level 3
เมื่อไร (mʉ̂a rai) - When (question) |  | CU-TFL Level 3
เป็นที่ (pen thîi) - To be known as, to be recognized as |  | CU-TFL Level 3
โดยที่ (dooy thîi) - By which, by whom, whereby |  | CU-TFL Level 3
แม้...ก็ (mâe...gɔ̀) - Even though... still |  | CU-TFL Level 3
เพื่อว่า (phʉ̂ʉa wâa) - So that, in order that |  | CU-TFL Level 3
ครั้งไหน (kráng hăi) - When (question regarding occasions) |  | CU-TFL Level 3
ซึ่งกันและกัน (sûeng gan láe gan) - Each other, mutually |  | CU-TFL Level 3
เท่ากับ (thâo gàp) - Equal to, the same as |  | CU-TFL Level 3
ในเมื่อ (nai mʉ̂a) - Since, as, seeing that |  | CU-TFL Level 3
ทุกที (thúk thii) - Always, every time |  | CU-TFL Level 3
แต่ว่า (dtàe wâa) - But, however |  | CU-TFL Level 3
ด้วยกัน (dûai gan) - Together, with each other |  | CU-TFL Level 3
เช่น (chèn) - Such as, like, for example |  | CU-TFL Level 3
สิ่งที่ (sìng thîi) - The thing that, what |  | CU-TFL Level 3
ใช่ว่า (châi wâa) - Is it that, could it be that |  | CU-TFL Level 3
หาก (hàak) - If, in case, suppose |  | CU-TFL Level 3
ส่วน (sùan) - Part, portion, in terms of |  | CU-TFL Level 3
เสมือน (sà-mʉan) - As if, like, similar to |  | CU-TFL Level 3
โดย (dooy) - By, via, method |  | CU-TFL Level 3
แต่เพียง (dtàe phîang) - Only, merely |  | CU-TFL Level 3
ตลอด (dtà-lòt) - Throughout, always, constantly |  | CU-TFL Level 3
กัน (gan) - Each other, one another |  | CU-TFL Level 3
จนถึงเมื่อ (jon thǔeng mʉ̂a) - Until, up until |  | CU-TFL Level 3
ด้วยว่า (dûai wâa) - Because, due to the fact that |  | CU-TFL Level 3
ระหว่าง (rá-wàang) - Between, among, in the midst of |  | CU-TFL Level 3
กับว่า (gàp wâa) - That, saying that |  | CU-TFL Level 3
ขณะนี้ (khànà níi) - Now, currently, at this time |  | CU-TFL Level 3
เช่นไร (chèn rai) - How, in what way |  | CU-TFL Level 3
สมมุติ (sàm-mùt) - Supposing, let's say, for instance |  | CU-TFL Level 3
ตามที่ (dtaam thîi) - According to, as per |  | CU-TFL Level 3
สามารถ (sǎa-mâat) - Can, to be able to |  | CU-TFL Level 3
ที่สุด (thîi sùt) - The most, utmost, extreme |  | CU-TFL Level 3
ทั้งที่ (tháng thîi) - Although, even though |  | CU-TFL Level 3
อันที่ (an thîi) - The reason that, due to |  | CU-TFL Level 3
ทั้ง (tháng) - All, entire, both |  | CU-TFL Level 3
มิฉะนั้น (mí chá-nán) - Otherwise, or else |  | CU-TFL Level 3
ต่อให้ (dtòr hâi) - Even if, though, albeit |  | CU-TFL Level 3
ซึ่งได้แก่ (sûeng dâi gè) - Namely, which are |  | CU-TFL Level 3
โดยเฉพาะ (dooy châ-phâw) - Especially, in particular |  | CU-TFL Level 3
ตามปกติ (dtaam bpòk dtì) - Normally, usually, typically |  | CU-TFL Level 3
หาความ (hǎa khwaam) - To find, to search for (information) |  | CU-TFL Level 3
เสียก่อน (sǐa gɔ̀n) - First, firstly, in advance |  | CU-TFL Level 3
เกี่ยวกับ (gìao gàp) - Concerning, about, regarding |  | CU-TFL Level 3
ใหญ่โต (hái dto) - Huge, very big, enormous |  | CU-TFL Level 3
นอกเหนือ (nâawk nǔea) - Besides, apart from, in addition to |  | CU-TFL Level 3
ล้วนๆ (lúan lúan) - Purely, only, just |  | CU-TFL Level 3
หากแม้ (hàak mâe) - Even if, although |  | CU-TFL Level 3
ต่อไป (dtòr bpai) - Next, subsequently, from now on |  | CU-TFL Level 3
ถึงเมื่อไร (thǔeng mʉ̂a rai) - Until when, how long |  | CU-TFL Level 3
เหตุเพราะ (hèt prâo) - Because, due to, for the reason that |  | CU-TFL Level 3
จากนั้น (jàak nán) - After that, then, subsequently |  | CU-TFL Level 3
แบบนี้ (bàep níi) - Like this, in this way, this kind of |  | CU-TFL Level 3
ส่วนใหญ่ (sùan hái) - Mostly, generally, for the most part |  | CU-TFL Level 3
เพื่อเป็น (phʉ̂ʉa pen) - In order to be, for the sake of being |  | CU-TFL Level 3
ที่ไหน (thîi hǎi) - Where, at which place |  | CU-TFL Level 3
อย่างไร (yàang rai) - How, in what manner, how come |  | CU-TFL Level 3
เกินไป (gern bpai) - Overly, excessively, too much |  | CU-TFL Level 3
เป็นไปได้ (pen bpai dâi) - Possible, can be |  | CU-TFL Level 3
พอดี (paw dîi) - Just right, exactly, by chance |  | CU-TFL Level 3
ซึ่งกันและกัน (sûeng gan láe gan) - Mutually, each other |  | CU-TFL Level 3
ซึ่งก็คือ (sûeng gɔ̂ kʉ̂ʉ) - Which is to say, i.e., that is |  | CU-TFL Level 3
เป็นอันจบ (pen an jòp) - That's it, it's over, to conclude |  | CU-TFL Level 3
ขณะที่ (khànà thîi) - While, when, at the time that |  | CU-TFL Level 3
แทนที่จะ (thɛ̂n thîi jà) - Instead of |  | CU-TFL Level 3
มั้ย (mái) - Question particle (informal) |  | CU-TFL Level 3
พร้อมกับ (prâwm gàp) - Together with, along with |  | CU-TFL Level 3
บ่อย ๆ (bòi bòi) - Often, frequently |  | CU-TFL Level 3
ถ้าหาก (thâa hàak) - If, in case that |  | CU-TFL Level 3
ตามที่ได้บอก (dtaam thîi dâi bɔ̀k) - As mentioned, as said before |  | CU-TFL Level 3
ด้วยกัน (dûai gan) - Together, with each other |  | CU-TFL Level 3
เพื่อว่า (phʉ̂ʉa wâa) - In order to say, to indicate |  | CU-TFL Level 3
อย่างน้อย (yàang nɔ́i) - At least, minimum |  | CU-TFL Level 3
หรือเปล่า (rʉ̌ʉ bplào) - Or not? (question ending) |  | CU-TFL Level 3
โดยทั่วไป (dooy thûa bpai) - Generally, in general |  | CU-TFL Level 3
เมื่อไร (mʉ̂a rai) - When? At what time? |  | CU-TFL Level 3
และเมื่อ (láe mʉ̂a) - And when, and then |  | CU-TFL Level 3
ต่อมา (dtòr maa) - Afterward, then, next |  | CU-TFL Level 3
