ขึ้นอยู่กับ (khʉ̂n yùu gàp) - Depends on |  | CU-TFL Level 4
อนึ่ง (anʉ̀ng) - Namely, that is to say |  | CU-TFL Level 4
ถึงแม้ว่า (thʉ̌ng mâe wâa) - Even if, although |  | CU-TFL Level 4
จะ...ก็... (jà... gɔ̂...) - Whether... or... |  | CU-TFL Level 4
เพื่อที่จะ (phʉ̂ʉ thîi jà) - In order to, so as to |  | CU-TFL Level 4
เสมือนว่า (sà-mʉan wâa) - As if, as though |  | CU-TFL Level 4
ตามที่ (dtaam thîi) - According to, as per |  | CU-TFL Level 4
เกินไป (goen bpai) - Too much, excessively |  | CU-TFL Level 4
ในที่สุด (nai thîi sùt) - Ultimately, in the end |  | CU-TFL Level 4
อย่างไรก็ตาม (yâang rai gɔ̂ dtaam) - However, nonetheless |  | CU-TFL Level 4
เพียงเพราะ (phiang phráw) - Merely because, just because |  | CU-TFL Level 4
ทั้งๆ ที่ (tháng tháng thîi) - Even though, despite the fact that |  | CU-TFL Level 4
ถ้าหาก (thâa hàak) - In case, if at all |  | CU-TFL Level 4
ล้วนแล้วร้อย (lúan láew rói) - Purely, solely, completely |  | CU-TFL Level 4
โดยเฉพาะ (dooy châ-phâw) - Particularly, especially |  | CU-TFL Level 4
ยิ่งขึ้น (yîng khʉ̂n) - Increasingly, more and more |  | CU-TFL Level 4
ทั้งนี้เพราะว่า (tháng níi phráw wâa) - This is because |  | CU-TFL Level 4
จนถึงขณะนี้ (jon thʉ̌ng khànà níi) - Up until now, hitherto |  | CU-TFL Level 4
เพราะเหตุนี้ (phráw hèt níi) - For this reason, thus |  | CU-TFL Level 4
นอกเหนือจาก...ก็ยัง... (nâawk nǔea jàak... gɔ̂ yang...) - Apart from... also... |  | CU-TFL Level 4
ในแง่ที่ (nai ngâe thîi) - In terms of, in the aspect of |  | CU-TFL Level 4
เพื่อว่า (phʉ̂ʉ wâa) - So that, in order that |  | CU-TFL Level 4
ขณะเดียวกัน (khànà dîaw gan) - At the same time, simultaneously |  | CU-TFL Level 4
ถ้าเท่าไหร่ (thâa thâo rài) - As much as, depending on how much |  | CU-TFL Level 4
ด้วยกัน (dûay gan) - Together, along with |  | CU-TFL Level 4
โดยส่วนใหญ่ (dooy sùan yài) - Mostly, generally |  | CU-TFL Level 4
แต่เพียง (dtàe phiang) - Only, merely, just |  | CU-TFL Level 4
แม้กระทั่ง (mâe grà thǔng) - Even, to the extent that |  | CU-TFL Level 4
ครั้งไหน (kráng rài) - Whenever, every time |  | CU-TFL Level 4
ในทางตรงกันข้าม (nai thaang dtrong gan khâam) - On the contrary, oppositely |  | CU-TFL Level 4
อย่างไรเสีย (yâang rai sǐa) - Anyhow, anyway |  | CU-TFL Level 4
ดังกับ (dang gàp) - As if, like, as though |  | CU-TFL Level 4
แต่ละ (dtàe lá) - Each, every |  | CU-TFL Level 4
ถึงขั้น (thʉ̌ng khân) - To the extent that, so much so that |  | CU-TFL Level 4
แต่ทว่า (dtàe thwâa) - However, but, yet |  | CU-TFL Level 4
พอ...ก็... (phɔɔ... gɔ̂...) - As soon as... then... |  | CU-TFL Level 4
เช่นกัน (chèn gan) - Similarly, likewise |  | CU-TFL Level 4
เสียด้วย (sǐa dûay) - Unfortunately, sadly |  | CU-TFL Level 4
ตามที่...ได้ (dtaam thîi... dâai) - As... can be |  | CU-TFL Level 4
เพราะเป็น (phráw pen) - Because it is, being that |  | CU-TFL Level 4
ยิ่ง...ยิ่ง... (yîng... yîng...) - The more... the more... |  | CU-TFL Level 4
ทั้งหมด (tháng mòt) - In total, all |  | CU-TFL Level 4
หากว่า (hàak wâa) - If, in case that |  | CU-TFL Level 4
ไม่ว่า...ก็... (mâi wâa... gɔ̂...) - No matter... always... |  | CU-TFL Level 4
อาจจะ (âat jà) - Might, possibly |  | CU-TFL Level 4
ซึ่งกันและกัน (sʉ̂ng gan láe gan) - Each other, mutually |  | CU-TFL Level 4
แทนที่จะ (thæn thîi jà) - Instead of |  | CU-TFL Level 4
ซึ่ง...เป็น... (sʉ̂ng... pen...) - Which is... |  | CU-TFL Level 4
ในขณะที่ (nai khànà thîi) - While, whereas |  | CU-TFL Level 4
ด้วยเหตุนี้ (dûay hèt níi) - Therefore, for this reason |  | CU-TFL Level 4
เป็นต้นไป (pen tôn bpai) - And so on, etc. |  | CU-TFL Level 4
แต่งานจริง (dtàe ngaan jing) - In reality, actually |  | CU-TFL Level 4
เสียจนถึง (sǐa jon thʉ̌ng) - Until, up to |  | CU-TFL Level 4
เฉยๆ (chǒey chǒey) - Just like that, simply |  | CU-TFL Level 4
ครั้งหลัง (kráng làng) - Next time, in the future |  | CU-TFL Level 4
ครั้งก่อน (kráng g̀̀xn) - Before, previously |  | CU-TFL Level 4
เสียแล้ว (sǐa láew) - Unfortunately, regretfully |  | CU-TFL Level 4
ตั้งแต่...จน (dtâng dtàe... jon) - From... until... |  | CU-TFL Level 4
มิฉะนั้น (mí chá nán) - Otherwise, or else |  | CU-TFL Level 4
ในที่ (nai thîi) - In which, where |  | CU-TFL Level 4
เมื่อไร (mʉ̂a rai) - Whenever, any time |  | CU-TFL Level 4
เรื่องของ (rʉ̂ang khɔ̌ng) - About, regarding |  | CU-TFL Level 4
ไม่แค่...แต่ยัง... (mâi khâe... dtàe yang...) - Not only... but also... |  | CU-TFL Level 4
ครั้งใด (kráng dai) - Whenever, any occasion |  | CU-TFL Level 4
เท่าที่ (thâo thîi) - As far as, as much as |  | CU-TFL Level 4
ในระหว่าง (nai rà-wàang) - During, in the midst of |  |  CU-TFL Level 4
เสมือน (sà-mʉan) - As if, resembling |  | CU-TFL Level 4
เพื่อความ (phʉ̂ʉ khwaam) - For the sake of, for the purpose of |  | CU-TFL Level 4
อย่างเช่น (yâang chèn) - Such as, for example |  | CU-TFL Level 4
ทุกที่ (thúk thîi) - Everywhere, every place |  | CU-TFL Level 4
เป็นอันจบ (pen an jòp) - And that's the end, that concludes |  | CU-TFL Level 4
อย่างน้อย (yâang nɔ́ɔi) - At least, minimally |  | CU-TFL Level 4
แค่...ก็พอ (khâe... gɔ̂ phɔ̂) - Just... is enough |  | CU-TFL Level 4
ทั้งนี้ (tháng níi) - This being the case, thus |  | CU-TFL Level 4
ตามที่กำหนด (dtaam thîi gam-nòt) - As scheduled, as appointed |  | CU-TFL Level 4
ด้วยว่า (dûay wâa) - Because, since, for the reason that |  | CU-TFL Level 4
เพราะว่า (phráw wâa) - Because, since |  | CU-TFL Level 4
จนกระทั่ง (jon grà thǔng) - Until, up to the point |  | CU-TFL Level 4
อย่างใด (yâang dai) - In any way, somehow |  | CU-TFL Level 4
หลังจากนั้น (lǎng jàak nán) - After that, subsequently |  | CU-TFL Level 4
แต่เพียง (dtàe phiang) - Only, merely |  | CU-TFL Level 4
ทันที (than thii) - Immediately, at once |  | CU-TFL Level 4
เรียกว่า (riiak wâa) - Called, known as |  | CU-TFL Level 4
แล้วแต่ (láew dtàe) - Depending on, it's up to |  | CU-TFL Level 4
แต่ว่า (dtàe wâa) - But, however |  | CU-TFL Level 4
เกือบๆ (gʉ̀ʉb gʉ̀ʉb) - Almost, nearly |  | CU-TFL Level 4
จึงเป็นไปได้ว่า (jeung pen bpai dâai wâa) - Therefore, it can be said that |  | CU-TFL Level 4
เพื่อน (phʉ̂ʉan) - In order to, for the purpose of |  | CU-TFL Level 4
ต่อมา (dtòr maa) - Then, afterwards |  | CU-TFL Level 4
ทั้งนั้น (tháng nán) - Yet, however |  | CU-TFL Level 4
ไม่กี่ (mâi gìi) - A few, not many |  | CU-TFL Level 4
ด้วยกัน (dûay gan) - Together, with each other |  | CU-TFL Level 4
ซึ่งไร (sʉ̂ng rai) - Which, whatever |  | CU-TFL Level 4
จนถึงเวลา (jon thʉ̌ng welaa) - Until the time, when the time comes |  | CU-TFL Level 4
อันที่จริง (an thîi jing) - In fact, actually |  | CU-TFL Level 4
อย่างไรก็ตาม (yâang rai gɔ̂ dtaam) - However, nonetheless |  | CU-TFL Level 4
เมื่อไหร่ก็ตาม (mʉ̂a rài gɔ̂ dtaam) - Whenever, at any time |  | CU-TFL Level 4
ไม่เป็นไร (mâi pen rai) - It's okay, no problem |  | CU-TFL Level 4
เสียก่อน (sǐa g̀̀xn) - First, beforehand |  | CU-TFL Level 4
ภายใน (phǎay nai) - Within, inside |  | CU-TFL Level 4
