~나마나 [namamana] (Because, since) |  | TOPIK II Level 5
~남짓 [namjit] (About, or so) |  | TOPIK II Level 5
~내내 [naenae] (Throughout, the whole time) |  | TOPIK II Level 5
~네요 [neyo] (Expressing surprise) |  | TOPIK II Level 5
~노릇이다 [noreusida] (Act as, function as) |  | TOPIK II Level 5
~느라고 [neurago] (Because, in order to) |  | TOPIK II Level 5
~는데다가 [neundedaga] (Moreover, furthermore) |  | TOPIK II Level 5
~는측에서 [neuncheugeseo] (From the perspective of) |  | TOPIK II Level 5
~다가도 [dagado] (Even if, even though) |  | TOPIK II Level 5
~다니 [dani] (Expressing disbelief) |  | TOPIK II Level 5
~답게 [dapge] (As befitting, like) |  | TOPIK II Level 5
~대로 [daero] (As per, following) |  | TOPIK II Level 5
~던데 [deonde] (Used to, before) |  | TOPIK II Level 5
~도록 하다 [dorok hada] (Make sure that, ensure that) |  | TOPIK II Level 5
~라든지 ~라든지 [radenji radenji] (Either or) |  | TOPIK II Level 5
~려고 하다 [ryeogo hada] (Try to) |  | TOPIK II Level 5
~만이 아니다 [mani anida] (Not only) |  | TOPIK II Level 5
~마련이다 [maryeonida] (Bound to, tend to) |  | TOPIK II Level 5
~면서 [myeonseo] (While) |  | TOPIK II Level 5
~동안 [dongan] (During/While) |  | TOPIK II Level 5
~부터는 [buteoneun] (From now on, since) |  | TOPIK II Level 5
~서야 [seoya] (Only after) |  | TOPIK II Level 5
~소문에는 [somuneneun] (I heard that) |  | TOPIK II Level 5
~아/어 보이다 [a/eo boida] (To seem, appear) |  | TOPIK II Level 5
~아/어야지 [a/eoyaji] (I should, I better) |  | TOPIK II Level 5
~았/었다 치다 [at/eotda chida] (Let’s say, suppose) |  | TOPIK II Level 5
~았/었던 것 같다 [at/eotdeon geot gatda] (It seemed that) |  | TOPIK II Level 5
~았/었어야 했다 [at/eosseoya haetda] (Should have) |  | TOPIK II Level 5
~어/아 가다 [eo/a gada] (While doing) |  | TOPIK II Level 5
~어/아 갖다 [eo/a gatda] (To keep doing) |  | TOPIK II Level 5
~어/아 달라다 [eo/a dallada] (To ask to do) |  | TOPIK II Level 5
~어/아 다니다 [eo/a danida] (To keep doing) |  | TOPIK II Level 5
