~게다가 [gedaga] (Moreover, besides) |  | TOPIK II Level 6
~거니와 [geoniwa] (And, besides) |  | TOPIK II Level 6
~것 마는 [geot maneun] (But) |  | TOPIK II Level 6
~과/와 같이 [gwa/wa gachi] (Like, as if) |  | TOPIK II Level 6
~나마저 [namajeo] (Even) |  | TOPIK II Level 6
~뿐만 아니라 [ppunman anira] (Not only... but also) |  | TOPIK II Level 6
~더니만 [deoniman] (After, and then) |  | TOPIK II Level 6
~이든지 ~든지 [ideunji deunji] (Whether... or) |  | TOPIK II Level 6
~임에 틀림없다 [ime tteollimeopda] (Without a doubt) |  | TOPIK II Level 6
~쩌면 [jjeomyeon] (Maybe, perhaps) |  | TOPIK II Level 6
~치고는 [chigoneun] (For, considering) |  | TOPIK II Level 6
~커녕 [keonyeong] (Far from, let alone) |  | TOPIK II Level 6
~판에 [pane] (In the midst of) |  | TOPIK II Level 6
~하건마는 [hageonmaneun] (But, however) |  | TOPIK II Level 6
~하더라도 [hadeorado] (Even if) |  | TOPIK II Level 6
~하든지 말든지 [hadeunji maldeunji] (Whether... or not) |  | TOPIK II Level 6
~하려니와 [haryeoniwa] (Trying to, but) |  | TOPIK II Level 6
~하여간 [hayaegane] (Anyway, anyhow) |  | TOPIK II Level 6
~하여야만 [hayeoyaman] (Only when) |  | TOPIK II Level 6
~해야겠다 [haeyagetda] (Should, ought to) |  | TOPIK II Level 6
~에 근거하여 [e geungeohayeo] (Based on) |  | TOPIK II Level 6
~에 비추어 볼 때 [e bichueo bol ttae] (In comparison to) |  | TOPIK II Level 6
~이다 보니 [ida boni] (Since, as) |  | TOPIK II Level 6
~이라면 그것은 [iramyeon geugeoseun] (If it’s called) |  | TOPIK II Level 6
~이래 [irae] (Since then, after) |  | TOPIK II Level 6
~이야말로 [iyamallo] (Truly, really) |  | TOPIK II Level 6
~인 까닭에 [in kkadake] (Because, the reason why) |  | TOPIK II Level 6
~인 즉 [in jeuk] (In other words) |  | TOPIK II Level 6
~처럼 하다 [cheoreom hada] (To act as if, pretend to) |  | TOPIK II Level 6
~커지다 [keojida] (Become bigger, more important) |  | TOPIK II Level 6
~키로 하다 [kiro hada] (Intend to, plan to) |  | TOPIK II Level 6
~하기에는 [hagineun] (Considering) |  | TOPIK II Level 6
~하기는 하다 [hagineun hada] (Do it somehow) |  | TOPIK II Level 6
~하기야 [hagiya] (Indeed, truly) |  | TOPIK II Level 6
~하기만 하면 [hakiman hamyeon] (As soon as) |  | TOPIK II Level 6
~하면서도 [hamyeonseodo] (While, although) |  | TOPIK II Level 6
~하면 할수록 [hamyeon halsurok] (The more... the more) |  | TOPIK II Level 6
~하자마자 [hajamaja] (As soon as) |  | TOPIK II Level 6
~하여 그런지 [hayeo geureonji] (Perhaps because) |  | TOPIK II Level 6
~하여서는 안 되다 [hayeoseoneun an dweda] (Must not) |  | TOPIK II Level 6
~한테는 [hanteneun] (To, for someone) |  | TOPIK II Level 6
~할 만하다 [hal manhada] (Worth doing) |  | TOPIK II Level 6
~할 수밖에 없다 [hal subakke eopda] (Have no choice but to) |  | TOPIK II Level 6
~해 갈수록 [hae galsurok] (Increasingly, as time goes on) |  | TOPIK II Level 6
~해 보아야 [hae boaya] (Should try and see) |  | TOPIK II Level 6
~해오다 [haeoda] (Continue doing something until now) |  | TOPIK II Level 6
~했건만 [haetgeonman] (But, however) |  | TOPIK II Level 6
~했기 때문에 [haetgi ttaemune] (Because) |  | TOPIK II Level 6
~했기에 [haetgie] (Because) |  | TOPIK II Level 6
~했더니 [haetdeoni] (And then) |  | TOPIK II Level 6
~했어야 했다 [haesseoya haetda] (Had to) |  | TOPIK II Level 6
~혹은 [hogeun] (Or) |  | TOPIK II Level 6
~후에야 [hueya] (Only after) |  | TOPIK II Level 6
~흔히 [heunhi] (Commonly, often) |  | TOPIK II Level 6
~이/히다 [i/hida] (To become) |  | TOPIK II Level 6
~잖다 [janda] (You know, isn't it) |  | TOPIK II Level 6
~져/지다 [jyeo/jida] (Become) |  | TOPIK II Level 6
~졌다가 [jyeotdaga] (Was once, but) |  | TOPIK II Level 6
~즉 [jeuk] (That is to say, namely) |  | TOPIK II Level 6
~지 않을까 싶다 [ji anheulkka sipda] (I think perhaps) |  | TOPIK II Level 6
~지 않을까 하다 [ji anheulkka hada] (I guess, I suspect) |  | TOPIK II Level 6
~지 않을래 [ji anheullae] (I don't want to) |  | TOPIK II Level 6
~지요 [jyo] (~지, right?) |  | TOPIK II Level 6
~진행하다 [jinhaenghada] (To proceed) |  | TOPIK II Level 6
~차라리 [charari] (Rather, instead) |  | TOPIK II Level 6
~처럼만 [cheoreomman] (Just like, as if) |  | TOPIK II Level 6
~케 하다 [ke hada] (To make) |  | TOPIK II Level 6
~타다 [tada] (To take, ride) |  | TOPIK II Level 6
~하게 하다 [hage hada] (Make someone do) |  | TOPIK II Level 6
~하여야만 [hayeoyaman] (Only by doing) |  | TOPIK II Level 6
~해서는 안 되다 [haeseoneun an dwae] (Must not, shouldn't) |  | TOPIK II Level 6
~해서야 [haeseoya] (In order to) |  | TOPIK II Level 6
~해야겠다 [haeyagetta] (Should, must, have to) |  | TOPIK II Level 6
~해야지 [haeyaji] (I should) |  | TOPIK II Level 6
~했더니 [haetdeoni] (After doing something, result) |  | TOPIK II Level 6
~했었는데 [haesseotneunde] (Had done but) |  | TOPIK II Level 6
~했을 텐데 [haesseultende] (Would have done but) |  | TOPIK II Level 6
~혹시 [hoksi] (By any chance) |  | TOPIK II Level 6
~힘들다 [himdeulda] (It's hard to) |  | TOPIK II Level 6
~간이다 [ganida] (Used to express that someone does something while doing another action) |  | TOPIK II Level 6
~나다 [nada] (Come out, start to) |  | TOPIK II Level 6
~남다 [namda] (To remain, be left over) |  | TOPIK II Level 6
~네요 [neyo] (Express surprise) |  | TOPIK II Level 6
~다고 [dago] (Saying that) |  | TOPIK II Level 6
~다는 [daneun] (The fact that) |  | TOPIK II Level 6
~다면서요 [damyeonseyo] (Said that) |  | TOPIK II Level 6
~던데 [deonde] (Used to) |  | TOPIK II Level 6
~던지 [deonji] (Whether) |  | TOPIK II Level 6
~도록 하다 [dorok hada] (To try to, to make sure to) |  | TOPIK II Level 6
