被 (bèi) - Passive voice marker |  | - HSK Level 3
除非 (chúfēi) - Unless |  | - HSK Level 3
既然 (jìrán) - Since, now that |  | - HSK Level 3
一旦 (yídàn) - Once, in case |  | - HSK Level 3
只要...就... (zhǐyào... jiù...) - As long as...then... |  | - HSK Level 3
尽管 (jǐnguǎn) - Even though, despite |  | - HSK Level 3
不如 (bùrú) - Not as good as, inferior to |  | - HSK Level 3
无论...都... (wúlùn... dōu...) - Regardless of...always... |  | - HSK Level 3
正在 (zhèngzài) - In the process of (used with a verb to indicate an ongoing action) |  | - HSK Level 3
一般 (yìbān) - Generally, usually |  | - HSK Level 3
直到...才... (zhídào... cái...) - Not until...then... |  | - HSK Level 3
宁愿...也不... (nìngyuàn... yě bù...) - Would rather...than... |  | - HSK Level 3
无法 (wúfǎ) - Unable to, can't |  | - HSK Level 3
非...不可 (fēi...bùkě) - Must, have to |  | - HSK Level 3
竟然 (jìngrán) - Unexpectedly, to one's surprise |  | - HSK Level 3
除了...还/也... (chúle... hái/yě...) - Apart from...also... |  | - HSK Level 3
一直到 (yìzhídào) - All the way until |  | - HSK Level 3
不是...而是... (bùshì... érshì...) - It's not... but... |  | - HSK Level 3
原来 (yuánlái) - Originally, as it turns out |  | - HSK Level 3
看来 (kànlái) - It seems, it appears |  | - HSK Level 3
照 (zhào) - According to, in accordance with |  | - HSK Level 3
尽量 (jǐnliàng) - As much as possible |  | - HSK Level 3
趁 (chèn) - To take advantage of |  | - HSK Level 3
难怪 (nánguài) - No wonder, so that's why |  | - HSK Level 3
虽然...却... (suīrán... què...) - Although... yet... |  | - HSK Level 3
从此 (cóngcǐ) - From now on, henceforth |  | - HSK Level 3
反而 (fǎn'ér) - On the contrary, instead |  | - HSK Level 3
从来 (cónglái) - Always, at all times |  | - HSK Level 3
比如说 (bǐrú shuō) - For example |  | - HSK Level 3
光是...就... (guāng shì... jiù...) - Just...alone... |  | - HSK Level 3
根本 (gēnběn) - At all, simply (used in the negative) |  | - HSK Level 3
否定词 (fǒudìngcí) - Negative adverbs like 不 (bù) and 没 (méi) |  | - HSK Level 3
立刻 (lìkè) - Immediately, right away |  | - HSK Level 3
到处 (dàochù) - Everywhere |  | - HSK Level 3
以前 (yǐqián) - Before, in the past |  | - HSK Level 3
之后 (zhīhòu) - Afterward, after |  | - HSK Level 3
早已 (zǎoyǐ) - Long ago, for a long time |  | - HSK Level 3
一切 (yíqiè) - Everything, every |  | - HSK Level 3
