INFO:root:Words processed: 3, Words failed: 0
INFO:root:Words processed: 129, Words failed: 0
INFO:root:Words processed: 58, Words failed: 0
INFO:root:Words processed: 30, Words failed: 0
INFO:root:Words processed: 254, Words failed: 0
INFO:root:Words processed: 294, Words failed: 0
INFO:root:Words processed: 406, Words failed: 0
INFO:root:Words processed: 669, Words failed: 0
INFO:root:Words processed: 636, Words failed: 0
INFO:root:Words processed: 1837, Words failed: 0
INFO:root:Words processed: 1835, Words failed: 0
INFO:root:Words processed: 3476, Words failed: 0
