ครับ/ค่ะ (khrap/kha) - Polite ending particle for male/female speakers |  | CU-TFL Level 1
ไม่ (mâi) - Not (Negation) |  | CU-TFL Level 1
ว่า (wâa) - That (Quotation marker) |  | CU-TFL Level 1
และ (láe) - And |  | CU-TFL Level 1
กับ (gàp) - With |  | CU-TFL Level 1
ใน (nai) - In, inside |  | CU-TFL Level 1
บน (bon) - On, above |  | CU-TFL Level 1
ใต้ (tâi) - Under, below |  | CU-TFL Level 1
หรือ (rǔe) - Or |  | CU-TFL Level 1
แล้ว (láew) - Already, then |  | CU-TFL Level 1
ที่ (thîi) - Which, that (Relative pronoun) |  | CU-TFL Level 1
จะ (jà) - Will (Future marker) |  | CU-TFL Level 1
เป็น (pen) - To be (For nouns and adjectives) |  | CU-TFL Level 1
มี (mii) - To have |  | CU-TFL Level 1
อยู่ (yùu) - To be (Location/Existence) |  | CU-TFL Level 1
ก่อน (gòn) - Before |  | CU-TFL Level 1
หลัง (lǎng) - After |  | CU-TFL Level 1
ถ้า (thâa) - If |  | CU-TFL Level 1
เมื่อ (mûea) - When |  | CU-TFL Level 1
ทำไม (tham-mai) - Why |  | CU-TFL Level 1
ให้ (hâi) - To give, let, for |  | CU-TFL Level 1
ไป (pai) - To go |  | CU-TFL Level 1
มา (maa) - To come |  | CU-TFL Level 1
ได้ (dâi) - Can, to get |  | CU-TFL Level 1
ขอ (khǒr) - To request, to ask for |  | CU-TFL Level 1
นี่ (nîi) - This |  | CU-TFL Level 1
นั้น (nán) - That |  | CU-TFL Level 1
นี้ (níi) - Here |  | CU-TFL Level 1
ทาง (thaang) - Way, direction |  | CU-TFL Level 1
ระหว่าง (rá-wàang) - Between |  | CU-TFL Level 1
แต่ (dtàe) - But, however |  | CU-TFL Level 1
หมด (mòt) - All, end |  | CU-TFL Level 1
บาง (baang) - Some |  | CU-TFL Level 1
หลาย (lǎai) - Many |  | CU-TFL Level 1
ค่อย (khôi) - Gradually |  | CU-TFL Level 1
ทุก (thúk) - Every |  | CU-TFL Level 1
กำลัง (gam-lang) - In the process of, currently (present continuous) |  | CU-TFL Level 1
ยัง (yang) - Still, yet |  | CU-TFL Level 1
ด้วย (dûai) - Also, too |  | CU-TFL Level 1
สุด (sùt) - Most, very |  | CU-TFL Level 1
เสมอ (sà-mǒer) - Always |  | CU-TFL Level 1
แค่ (kâe) - Just, only |  | CU-TFL Level 1
ดี (dii) - Good (common adjective) |  | CU-TFL Level 1
ร้าย (ráai) - Bad (common adjective) |  | CU-TFL Level 1
มาก (mâak) - Very, much |  | CU-TFL Level 1
เร็ว (reo) - Fast, quickly |  | CU-TFL Level 1
ช้า (cháa) - Slow, slowly |  | CU-TFL Level 1
ก็ (gâw) - Then, so (used for explanation) |  | CU-TFL Level 1
เป็นไง (pen ngai) - How is it? (Casual greeting) |  | CU-TFL Level 1
เพราะ (phráw) - Because |  | CU-TFL Level 1
เกือบ (gèuap) - Almost, nearly |  | CU-TFL Level 1
จน (jon) - Until |  | CU-TFL Level 1
กว่า (kwàa) - Than (comparison) |  | CU-TFL Level 1
ดัง (dang) - As (like, similar to) |  | CU-TFL Level 1
คง (khong) - Probably, must be |  | CU-TFL Level 1
รู้ (rúu) - To know |  | CU-TFL Level 1
เชื่อ (chûea) - To believe, trust |  | CU-TFL Level 1
ส่ง (sòng) - To send, to deliver |  | CU-TFL Level 1
นำ (nam) - To lead, bring |  | CU-TFL Level 1
เสีย (sǐa) - To lose, broken, unfortunately |  | CU-TFL Level 1
