อาจ (àat) - Might, perhaps (expressing possibility) |  | CU-TFL Level 2
ต้อง (tâwng) - Must, have to (expressing obligation) |  | CU-TFL Level 2
ควร (khuan) - Should (giving advice) |  | CU-TFL Level 2
น่า (nâa) - Seems, looks like (making speculations) |  | CU-TFL Level 2
ถูก (thùuk) - Passive voice marker; also means 'to be hit by' |  | CU-TFL Level 2
แม้ (mâe) - Even if, although |  | CU-TFL Level 2
ใช่ (châi) - Is it?, correct, right |  | CU-TFL Level 2
ปลาย (plaai) - End (of a period), tip |  | CU-TFL Level 2
ซึ่ง (sûeng) - Which, who (relative pronoun) |  | CU-TFL Level 2
เมื่อไร (mûea rai) - When (asking about a specific time) |  | CU-TFL Level 2
ประมาณ (pra-maan) - About, approximately |  | CU-TFL Level 2
ระยะ (rá-yà) - Distance, period (of time) |  | CU-TFL Level 2
เปลี่ยน (plìian) - To change, to alter |  | CU-TFL Level 2
แทน (thæn) - Instead |  | CU-TFL Level 2
จนกว่า (jon kwâa) - Until (specific condition is met) |  | CU-TFL Level 2
ทั้ง (tháng) - Both, all, entire |  | CU-TFL Level 2
แต่ง (dtɛ̀ɛng) - To decorate; also refers to forming words with certain prefixes/suffixes |  | CU-TFL Level 2
ร่วม (rûam) - Together, to participate |  | CU-TFL Level 2
แสดง (sǎ-daeng) - To show, to indicate |  | CU-TFL Level 2
โดย (dooi) - By, via (method or means of doing something) |  | CU-TFL Level 2
ซึ่งกันและกัน (sûeng gan láe gan) - Each other, one another |  | CU-TFL Level 2
แค่ไหน (kâe nǎi) - How much/many (degree of an adjective) |  | CU-TFL Level 2
ขณะ (khà-nà) - Moment, time, during |  | CU-TFL Level 2
ว่า (wâa) - Quotation marker; used to introduce reported speech |  | CU-TFL Level 2
จึง (jeung) - Therefore, as a result |  | CU-TFL Level 2
แม้ว่า (mâe wâa) - Even though, although |  | CU-TFL Level 2
เผื่อ (phèua) - In case, for the sake of |  | CU-TFL Level 2
อีก (ìik) - Again, more, another |  | CU-TFL Level 2
ก่อน (gòrn) - Before |  | CU-TFL Level 2
หลังจาก (lǎng jàak) - After |  | CU-TFL Level 2
ขณะนี้ (khà-nà níi) - Currently, at this moment |  | CU-TFL Level 2
ในที่สุด (nai thîi sùt) - Finally, at last |  | CU-TFL Level 2
ด้วยกัน (dûai gan) - Together |  | CU-TFL Level 2
เพื่อ (phʉ̂ʉa) - In order to, for the purpose of |  | CU-TFL Level 2
รวมทั้ง (ruam tháng) - Including, as well as |  | CU-TFL Level 2
แต่เมื่อ (dtàe mûea) - But when |  | CU-TFL Level 2
ยิ่ง (yîng) - Even more, increasingly |  | CU-TFL Level 2
ตั้งแต่ (táng dtàe) - Since (time), from |  | CU-TFL Level 2
ใคร่ (khrài) - To desire, want |  | CU-TFL Level 2
ใช้ (chái) - To use |  | CU-TFL Level 2
กลับ (glàp) - To return, to go back |  | CU-TFL Level 2
ส่วน (sùan) - Part, portion, in terms of |  | CU-TFL Level 2
อย่าง (yàang) - Kind, type, like (for giving examples) |  | CU-TFL Level 2
ถ้า (thâa) - If, in case of |  | CU-TFL Level 2
จริง (jĭng) - True, really |  | CU-TFL Level 2
ทั้งนี้ (tháng níi) - Meanwhile, however |  | CU-TFL Level 2
แน่นอน (nâe-non) - Certainly, of course |  | CU-TFL Level 2
เมื่อ (mûea) - When, once |  | CU-TFL Level 2
นับ (náp) - To count; since (time) |  | CU-TFL Level 2
บาง (baang) - Some, certain |  | CU-TFL Level 2
นอกจาก (nâawk jàak) - Besides, except |  | CU-TFL Level 2
หาก (hàak) - If, in case that |  | CU-TFL Level 2
แม้นว่า (mâen wâa) - Regardless of whether |  | CU-TFL Level 2
ระหว่าง (rá-wàang) - Between, among |  | CU-TFL Level 2
ภายใน (phāi nai) - Within, inside |  | CU-TFL Level 2
ภายนอก (phāi nâawk) - Outside, externally |  | CU-TFL Level 2
ภายหลัง (phāi lǎng) - Later, in the future |  | CU-TFL Level 2
ตลอด (dtà-làwt) - Throughout, continuously |  | CU-TFL Level 2
ตาม (dtaam) - According to, follow |  | CU-TFL Level 2
จนถึง (jon thǔeng) - Until, up to |  | CU-TFL Level 2
ทันที (than thii) - Immediately, right away |  | CU-TFL Level 2
บ่อย (bòi) - Often, frequently |  | CU-TFL Level 2
หา (hǎa) - To search for, to look for |  | CU-TFL Level 2
ประจำ (pra-jam) - Regular, routine, permanent |  | CU-TFL Level 2
วันนี้ (wan níi) - Today |  | CU-TFL Level 2
มั้ย (mái) - Question particle, isn't it? |  | CU-TFL Level 2
ครั้ง (khráng) - Time (occasion, instance) |  | CU-TFL Level 2
ระหว่างที่ (rá-wàang thîi) - While, during the time that |  | CU-TFL Level 2
แต่ละ (dtàe lá) - Each, every |  | CU-TFL Level 2
ซึ่ง (sûeng) - Which, that (relative pronoun) |  | CU-TFL Level 2
ซับซ้อน (sáp sɔ́ɔn) - Complicated, complex |  | CU-TFL Level 2
เกี่ยวกับ (gìao gàp) - About, related to |  | CU-TFL Level 2
สมัย (sà-mai) - Era, period, time |  | CU-TFL Level 2
ฐานะ (thā-ná) - Status, position, situation |  | CU-TFL Level 2
เช่น (chèn) - Such as, like, for instance |  | CU-TFL Level 2
โดยเฉพาะ (dooi chê-phâw) - Especially, particularly |  | CU-TFL Level 2
เท่านั้น (thâo nán) - Only that much, just that |  | CU-TFL Level 2
จน (jon) - Until, till, to the extent that |  | CU-TFL Level 2
เชื่อ (chʉ̂ʉa) - To believe, to trust |  | CU-TFL Level 2
เป็นต้นไป (pen dton bpai) - Onwards, and so forth |  | CU-TFL Level 2
ส่ง (sòng) - To send, to deliver |  | CU-TFL Level 2
เพิ่ม (phôem) - To increase, to add |  | CU-TFL Level 2
ลด (lót) - To decrease, to reduce |  | CU-TFL Level 2
ข้างหน้า (khâang nâa) - In front of, ahead |  | CU-TFL Level 2
ข้างหลัง (khâang lǎng) - Behind, at the back |  | CU-TFL Level 2
เสมือน (sà-mʉan) - As if, resembling |  | CU-TFL Level 2
พร้อมกับ (phróam gàp) - Along with, ready with |  | CU-TFL Level 2
แทนที่ (thɛɛn thîi) - Instead of |  | CU-TFL Level 2
ดังกับ (dang gàp) - As if, like, as though |  | CU-TFL Level 2
แบบนี้ (bàeb níi) - Like this, this way |  | CU-TFL Level 2
แบบนั้น (bàeb nán) - Like that, that way |  | CU-TFL Level 2
ใกล้ (glâi) - Near, close |  | CU-TFL Level 2
แตกต่าง (dtàek dtàang) - Different, to differ |  | CU-TFL Level 2
หาย (hǎai) - To disappear, to be missing |  | CU-TFL Level 2
เห็น (hěn) - To see, to perceive |  | CU-TFL Level 2
รู้ (rúu) - To know, to be aware of |  | CU-TFL Level 2
เรียน (riian) - To study, to learn |  | CU-TFL Level 2
ฝึก (fùek) - To practice, to train |  | CU-TFL Level 2
เปลี่ยน (bplìian) - To change, to alter |  | CU-TFL Level 2
แนะนำ (náe-nam) - To recommend, to suggest |  | CU-TFL Level 2
