แม้กระทั่ง (máe grà thùng) - Even, to the extent that |  | CU-TFL Level 5
โดยเฉพาะ (dooi chêphâw) - Especially, particularly |  | CU-TFL Level 5
จนกระทั่ง (jon grà thùng) - Until, up to the point that |  | CU-TFL Level 5
ขณะเดียวกัน (khànà dîaw gan) - At the same time, simultaneously |  | CU-TFL Level 5
เสมือนว่า (sà-mʉan wâa) - As if, seemingly |  | CU-TFL Level 5
มิฉะนั้น (mí chá nán) - Otherwise, if not |  | CU-TFL Level 5
อย่างน้อย (yâang nɔ́i) - At least, minimally |  | CU-TFL Level 5
ทั้งๆ ที่ (tháng tháng thîi) - Although, even though |  | CU-TFL Level 5
เพียงเพราะ (phiang phráw) - Merely because, just because |  | CU-TFL Level 5
ไม่ใช่แค่ (mâi châi khâe) - Not just, not only |  | CU-TFL Level 5
ต่อให้ (dtòr hâi) - Even if, suppose that |  | CU-TFL Level 5
หากว่า (hàak wâa) - If, in case that |  | CU-TFL Level 5
เพื่อเป็น (phʉ̂ʉa pen) - In order to be, so as to be |  | CU-TFL Level 5
ตามที่ (dtaam thîi) - According to, as per |  | CU-TFL Level 5
จริงๆ แล้ว (jing jing láew) - Actually, in truth |  | CU-TFL Level 5
ก็แค่ (gɔ̂ khâe) - Just, simply |  | CU-TFL Level 5
ตามแต่ (dtaam dtàe) - Depending on, according to |  | CU-TFL Level 5
ร่วมกับ (rûam gàp) - In conjunction with, along with |  | CU-TFL Level 5
ในที่สุด (nai thîi sùt) - Ultimately, in the end |  | CU-TFL Level 5
ที่ไหนๆ (thîi nǎi nǎi) - Anywhere, wherever |  | CU-TFL Level 5
แทนที่จะ (thǎen thîi jà) - Instead of |  | CU-TFL Level 5
แม้นว่า (máen wâa) - Even though, albeit |  | CU-TFL Level 5
ก็ตามแต่ (gɔ̂ dtaam dtàe) - Regardless of, no matter |  | CU-TFL Level 5
ยิ่งขึ้น (yîng khûen) - Increasingly, more and more |  | CU-TFL Level 5
เมื่อไรที่ (mʉ̂a rai thîi) - Whenever |  | CU-TFL Level 5
แค่เพียง (khâe phiang) - Merely, only just |  | CU-TFL Level 5
ให้...เสมอ (hâi...sà-mʉ̌ʉa) - Always let/make... |  | CU-TFL Level 5
ซึ่งกันและกัน (sʉ̂ng gan láe gan) - Mutually, reciprocally |  | CU-TFL Level 5
เกินไป (gern pai) - Excessively, too much |  | CU-TFL Level 5
ด้วยกัน (dûai gan) - Together, with each other |  | CU-TFL Level 5
ในระหว่าง (nai rà-wàang) - During, in the midst of |  | CU-TFL Level 5
เพื่อว่า (phʉ̂ʉa wâa) - In order to, so that |  | CU-TFL Level 5
