~(으)나마 [(eu)namah] (At least, even if only) |  | TOPIK II Level 3
~(으)니깐 [(eu)nikkan] (Because, so) |  | TOPIK II Level 3
~(으)려다가 [(eu)ryeodaga] (Was about to, tried to) |  | TOPIK II Level 3
~(으)리니 [(eu)rini] (Of course, as one would expect) |  | TOPIK II Level 3
~(으)면 할수록 [(eu)myeon halsurok] (The more... the more...) |  | TOPIK II Level 3
~(으)면서는 [(eu)myeonseoneun] (While, whereas) |  | TOPIK II Level 3
~(으)시거나 [(eu)sigeona] (Either... or... [honorific]) |  | TOPIK II Level 3
~(으)시든지 [(eu)sideunji] (Whether... or... [honorific]) |  | TOPIK II Level 3
~(으)ㄹ 데가 없다 [(eu)l dega eopda] (There's no way to...) |  | TOPIK II Level 3
~(으)ㄹ 수밖에 없다 [(eu)l subakke eopda] (Have no choice but to) |  | TOPIK II Level 3
~(으)ㄹ지라도 [(eu)ljirado] (Even if) |  | TOPIK II Level 3
~(으)려나 [(eu)ryeona] (I wonder if...) |  | TOPIK II Level 3
~겠지만 [gesjiman] (I think, but) |  | TOPIK II Level 3
~게 되다 [ge dweda] (End up, come to) |  | TOPIK II Level 3
~게 하다 [ge hada] (Make/cause someone to do) |  | TOPIK II Level 3
~고 말다 [go malda] (End up) |  | TOPIK II Level 3
~고 말하다 [go malhada] (Say that...) |  | TOPIK II Level 3
~고 보면 [go bomyeon] (When you see/consider, upon closer look) |  | TOPIK II Level 3
~고서 [goseo] (After doing) |  | TOPIK II Level 3
~고자 [goja] (In order to) |  | TOPIK II Level 3
~기는 하다 [gineun hada] (Do something but...) |  | TOPIK II Level 3
~기로 하다 [giro hada] (Decide to) |  | TOPIK II Level 3
~기로 되다 [giro dweda] (It is decided/settled) |  | TOPIK II Level 3
~기 시작하다 [gi sijakhada] (Begin to) |  | TOPIK II Level 3
~기 전에 [gi jeone] (Before) |  | TOPIK II Level 3
~기 힘들다 [gi himdeulda] (It's hard to) |  | TOPIK II Level 3
~기를 [gireul] (In order to) |  | TOPIK II Level 3
~기만 하다 [giman hada] (Just) |  | TOPIK II Level 3
~기에는 [gieneun] (For, in order to) |  | TOPIK II Level 3
~나 보다 [na boda] (It seems, looks like) |  | TOPIK II Level 3
~나요? [nayo?] (Isn't it?, right?) |  | TOPIK II Level 3
~남짓 [namjit] (About, around) |  | TOPIK II Level 3
~는 대로 [neun daero] (As is, the way it is) |  | TOPIK II Level 3
~는 바와 같이 [neun bawa gachi] (Just like, as if) |  | TOPIK II Level 3
~는 편이다 [neun pyeonida] (Tend to) |  | TOPIK II Level 3
~는다는 것 [neundaneun geot] (The fact that) |  | TOPIK II Level 3
~는데 [neunde] (But, and, so) |  | TOPIK II Level 3
~는지 알다/모르다 [neunji alda/moreuda] (Know/don't know whether) |  | TOPIK II Level 3
~는지라 [neunjira] (Because, since) |  | TOPIK II Level 3
~다가 [daga] (While doing, was doing but) |  | TOPIK II Level 3
~다가는 [daganeun] (If continue doing) |  | TOPIK II Level 3
~다가도 [dagado] (Even though was doing) |  | TOPIK II Level 3
~다니 [dani] (Exclamation, surprise) |  | TOPIK II Level 3
~다면 [damyeon] (If it is the case that) |  | TOPIK II Level 3
~더라도 [deorado] (Even if) |  | TOPIK II Level 3
~더라구요 [deoraguyo] (It seemed, I noticed) |  | TOPIK II Level 3
~던 [deon] (That used to) |  | TOPIK II Level 3
~도록 [dorok] (So that, in order to) |  | TOPIK II Level 3
~도록 하다 [dorok hada] (Make sure, see to it that) |  | TOPIK II Level 3
~라든지 [radeunji] (Or, either) |  | TOPIK II Level 3
~라도 [rado] (Even if, at least) |  | TOPIK II Level 3
~라서 [raseo] (Because, so) |  | TOPIK II Level 3
~라야 하다 [rayahada] (Must, have to) |  | TOPIK II Level 3
~려고 [ryeogo] (Intending to, planning to) |  | TOPIK II Level 3
~려고 하다 [ryeogo hada] (Try to, plan to) |  | TOPIK II Level 3
~려는데 [ryeoneunde] (Trying to, want to, but) |  | TOPIK II Level 3
~리가 없다 [riga eopda] (There’s no way that) |  | TOPIK II Level 3
~리요 [riyo] (Likely, probably) |  | TOPIK II Level 3
~마다 [mada] (Every) |  | TOPIK II Level 3
~만 [man] (Only, just) |  | TOPIK II Level 3
~만 하다 [man hada] (Only, just) |  | TOPIK II Level 3
~만큼 [mankeum] (As much as, as many as) |  | TOPIK II Level 3
~며/면서 [myeo/myeonseo] (While) |  | TOPIK II Level 3
~면 [myeon] (If) |  | TOPIK II Level 3
~면 어때 [myeon eottae] (How about if) |  | TOPIK II Level 3
~면서도 [myeonseodo] (Even though, while) |  | TOPIK II Level 3
~밖에 [bakke] (Only, nothing but) |  | TOPIK II Level 3
~부터 [buteo] (From) |  | TOPIK II Level 3
~부터 ~까지 [buteo ~ kkaji] (From ~ to) |  | TOPIK II Level 3
~사이 [sai] (Between) |  | TOPIK II Level 3
~세요 [seyo] (Please do, let’s do) |  | TOPIK II Level 3
~아/어 보다 [a/eo boda] (Try) |  | TOPIK II Level 3
~아/어 버리다 [a/eo beorida] (Regrettably, completely) |  | TOPIK II Level 3
~아/어 다니다 [a/eo danida] (Keep doing, repeatedly do) |  | TOPIK II Level 3
~아/어 두다 [a/eo duda] (Leave something in a state) |  | TOPIK II Level 3
~아/어 놓다 [a/eo nohda] (Do in advance, set something up) |  | TOPIK II Level 3
~아/어야 되다/하다 [a/eoya dweda/hada] (Have to, must) |  | TOPIK II Level 3
~아/어지다 [a/eojida] (Become, get) |  | TOPIK II Level 3
~아서/어서 [aseo/eoseo] (So, because, and) |  | TOPIK II Level 3
~았/었다가 [at/eotdagga] (Did something and then another situation occurred) |  | TOPIK II Level 3
~았/었던 [at/eotdeon] (That used to be) |  | TOPIK II Level 3
~았/었으면 좋겠다 [at/eosseumyeon johgetda] (I hope, wish) |  | TOPIK II Level 3
~았/었지만 [at/eotjiman] (But, however, even though) |  | TOPIK II Level 3
~았/었지요 [at/eotjiyo] (Explanatory, as you know) |  | TOPIK II Level 3
~어야지 [eoyaji] (Intention, resolution) |  | TOPIK II Level 3
~었더라면 [eotdeoramyeon] (If it had been the case that) |  | TOPIK II Level 3
