假如 (jiǎrú) - If, supposing |  | - HSK Level 6
非...不可 (fēi... bùkě) - Must, have to |  | - HSK Level 6
即便 (jíbiàn) - Even if, even though |  | - HSK Level 6
据说 (jùshuō) - It is said that, reportedly |  | - HSK Level 6
不是...而是... (bùshì... érshì...) - It's not... but... |  | - HSK Level 6
至多 (zhìduō) - At most |  | - HSK Level 6
毫无 (háo wú) - Without, not in the least |  | - HSK Level 6
则 (zé) - Then, thus |  | - HSK Level 6
而已 (éryǐ) - That's all, nothing more than |  | - HSK Level 6
难道 (nándào) - Could it be that, isn't it? |  | - HSK Level 6
不如 (bùrú) - Not as good as, inferior to |  | - HSK Level 6
无论如何 (wúlùn rúhé) - Anyhow, anyway, in any case |  | - HSK Level 6
不得不 (bùdébù) - Have to, can't but |  | - HSK Level 6
不然 (bùrán) - Otherwise, if not |  | - HSK Level 6
不管...都... (bùguǎn... dōu...) - Regardless of... always... |  | - HSK Level 6
唯有 (wéiyǒu) - Only, alone |  | - HSK Level 6
那般 (nà bān) - So, such |  | - HSK Level 6
以至于 (yǐzhìyú) - So... that... |  | - HSK Level 6
若非 (ruò fēi) - If not for, but for |  | - HSK Level 6
要么...要么... (yàome... yàome...) - Either... or... |  | - HSK Level 6
不是...就是... (bùshì... jiùshì...) - Either... or... |  | - HSK Level 6
尽管...但是... (jǐnguǎn... dànshì...) - Although... but... |  | - HSK Level 6
除非...否则... (chúfēi... fǒuzé...) - Unless... otherwise... |  | - HSK Level 6
与其...不如... (yǔqí... bùrú...) - Rather than... it's better to... |  | - HSK Level 6
即使 (jíshǐ) - Even if, even though |  | - HSK Level 6
既...又... (jì... yòu...) - Both... and... |  | - HSK Level 6
由此可见 (yóucǐ kějiàn) - From this, one can see that... |  | - HSK Level 6
至于 (zhìyú) - As for, regarding |  | - HSK Level 6
毕竟 (bìjìng) - After all, when all is said and done |  | - HSK Level 6
反之 (fǎnzhī) - On the contrary, conversely |  | - HSK Level 6
除了...以外 (chúle... yǐwài) - Apart from, besides |  | - HSK Level 6
不仅...而且... (bùjǐn... érqiě...) - Not only... but also... |  | - HSK Level 6
何况 (hékuàng) - Let alone, not to mention |  | - HSK Level 6
假使 (jiǎshǐ) - Supposing, if |  | - HSK Level 6
倘若 (tǎngruò) - If, supposing |  | - HSK Level 6
正如 (zhèngrú) - Just as, as |  | - HSK Level 6
正因为...所以... (zhèng yīnwèi... suǒyǐ...) - Precisely because... therefore... |  | - HSK Level 6
而非 (érfēi) - Rather than |  | - HSK Level 6
若是 (ruòshì) - If, in case |  | - HSK Level 6
鉴于 (jiànyú) - In light of, considering |  | - HSK Level 6
