INFO:root:Examples processed: 312, Examples failed: 0
INFO:root:Examples processed: 472, Examples failed: 0
INFO:root:Examples processed: 472, Examples failed: 0
INFO:root:Examples processed: 480, Examples failed: 0
INFO:root:Examples processed: 576, Examples failed: 0
INFO:root:Examples processed: 684, Examples failed: 0
INFO:root:Examples processed: 340, Examples failed: 0
INFO:root:Examples processed: 396, Examples failed: 0
INFO:root:Examples processed: 476, Examples failed: 0
INFO:root:Examples processed: 476, Examples failed: 0
INFO:root:Examples processed: 556, Examples failed: 0
INFO:root:Examples processed: 712, Examples failed: 0
INFO:root:Examples processed: 240, Examples failed: 0
INFO:root:Examples processed: 400, Examples failed: 0
INFO:root:Examples processed: 480, Examples failed: 0
INFO:root:Examples processed: 560, Examples failed: 0
INFO:root:Examples processed: 720, Examples failed: 0
INFO:root:Examples processed: 1732, Examples failed: 0
